Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,15199,2022-05-12,0.0072595559,0.0374014475,0.040123058,21,100
Market-Adjusted Model,15200,2022-05-12,-0.002414978,0.0281674036,0.0304485238,21,100
Market-Adjusted Model,15201,2022-05-12,-0.015911432,0.0156416838,0.0169520703,21,100
Market-Adjusted Model,15202,2022-05-12,-0.043058856,-0.006253457,-0.010195353,21,100
Market-Adjusted Model,15203,2022-05-12,-0.178451167,-0.149881953,-0.145587665,21,100
Market-Adjusted Model,15204,2022-05-12,0.0189891771,0.0492726874,0.0518526792,21,100
Market-Adjusted Model,15205,2022-05-12,0.0017851471,0.0319103629,0.0346486491,21,100
Market-Adjusted Model,15213,2022-05-12,-0.005345649,0.0231286079,0.0275178535,21,100
Market-Adjusted Model,15215,2022-05-12,-0.052000046,0.0129635217,-0.019136544,21,100
Market-Adjusted Model,15216,2022-05-12,-0.07113619,-0.034954507,-0.038272688,21,100
Market-Adjusted Model,15218,2022-05-12,-0.347222249,-0.326427164,-0.314358747,21,100
Market-Adjusted Model,15219,2022-05-12,-0.232057153,-0.206094164,-0.199193651,21,100
Market-Adjusted Model,15221,2022-05-12,-0.049210845,0.0463587064,-0.016347342,21,100
Market-Adjusted Model,15222,2022-05-12,0.0033178551,0.0647241783,0.0361813571,21,100
Market-Adjusted Model,15226,2022-05-12,-0.219371612,-0.212681678,-0.18650811,21,100
Market-Adjusted Model,15231,2022-05-12,-0.223287337,-0.213386494,-0.190423835,21,100
Market-Adjusted Model,15234,2022-05-12,-0.004165788,0.0249445363,0.0286977144,21,100
Market-Adjusted Model,15235,2022-05-12,0.0081990366,0.0370562062,0.0410625386,21,100
Market-Adjusted Model,15236,2022-05-12,-0.000282988,0.0288461798,0.0325805141,21,100
Market-Adjusted Model,15243,2022-05-12,0.018633761,0.0493022459,0.051497263,21,100
Market-Adjusted Model,15244,2022-05-12,-0.060083575,-0.029082603,-0.027220073,21,100
Market-Adjusted Model,15247,2022-05-12,0.0045970841,0.0341047869,0.0374605861,21,100
